Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination
GCF_013339695.2	BIME_Rsan_1.4	Rhipicephalus sanguineus					Rsan-2018		NCBI Rhipicephalus sanguineus Annotation Release 101	2365502231	Chromosome	6/24/22	JABSTV01	2327		
GCF_003073215.2	Tu2.1	Triticum urartu			G1812				NCBI Triticum urartu Annotation Release 100	4849077157	Chromosome	4/30/18	MKGO01	10204		
GCA_003952965.2	Mru_ZJU_2	Morella rubra			Y2012-145			female	Annotation submitted by Zhejiang University	313008583	Chromosome	9/23/20	RXIC02	511		
GCF_002162155.2	WEW_v2.1	Triticum dicoccoides				Zavitan	Atlit2015		NCBI Triticum dicoccoides Annotation Release 100	10677097747	Chromosome	2/4/19	LSYQ02	148296		
GCF_036934945.1	UVic_Omas_1.1	Oncorhynchus masou masou					Uvic2021	pooled male and female	GCF_036934945.1-RS_2024_04	2664785840	Chromosome	3/1/24	JAYKYR01	17262		
GCF_000165395.2	ASM16539v2	Babesia bovis T2Bo		T2Bo					Annotation submitted by The J. Craig Venter Institute	8195476	Chromosome	5/26/21	AAXT02	6		
GCF_030867095.1	rAllMis1	Alligator mississippiensis					rAllMis1	female	GCF_030867095.1-RS_2023_09	2346779227	Chromosome	8/24/23	JAVFJH01	194		
GCF_958298935.1	lpPhrAust1.1	Phragmites australis							GCF_958298935.1-RS_2024_01	848669966	Chromosome	7/6/23	CATQJE01	37		
GCF_023375685.1	Billie_1.0	Ictalurus furcatus		D&B				female	GCF_023375685.1-RS_2023_03	825459183	Chromosome	6/2/22	JAMCCP01	42		
GCF_963855985.1	ilOstNubi1.1	Ostrinia nubilalis							GCF_963855985.1-RS_2024_03	495500553	Chromosome	12/15/23	CAWLCS01	52		
GCF_004115215.2	mOrnAna1.pri.v4	Ornithorhynchus anatinus					Pmale09	male	NCBI Ornithorhynchus anatinus Annotation Release 105	1859264908	Chromosome	11/6/20	RZJT02	321		
GCF_011397635.1	E.fuscoguttatus.final_Chr_v1	Epinephelus fuscoguttatus							NCBI Epinephelus fuscoguttatus Annotation Release 100	1046995804	Chromosome	2/20/20		25		
GCF_030014155.1	HZAU_Pvac_v1	Tachysurus vachellii					PV-2020	female	GCF_030014155.1-RS_2023_11	692104899	Chromosome	5/16/23	JASFAQ01	77		
GCF_003369915.1	D.miranda_PacBio2.1	Drosophila miranda		MSH22				male	NCBI Drosophila miranda Annotation Release 102	287096000	Chromosome	9/23/19	QNQS02	104		
GCA_009771035.1	CNRS_Lalb_1.0	Lupinus albus			Amiga				Annotation submitted by White lupin genome	449991378	Chromosome	12/20/19	WOCE01	83		
GCA_000180635.4	El Paco v. 4	Pristionchus pacificus		PS312					Annotation submitted by Washington University (WashU)	158478356	Chromosome	11/2/20	ABKE04	46		
GCA_020875875.1	Dalata_v2	Dioscorea alata			TDa95/00328				Annotation submitted by University of California Berkeley	480026477	Chromosome	11/16/21	JAFBII01	25		
GCF_010015445.1	GENO_Pfluv_1.0	Perca fluviatilis						male	NCBI Perca fluviatilis Annotation Release 100	951345774	Chromosome	1/30/20	VHII01	303		
GCF_027580225.1	HAU_Mang_1.0	Misgurnus anguillicaudatus					BS_2022a	female	GCF_027580225.1-RS_2023_04	1104569478	Chromosome	1/9/23	JALDXJ01	357		
GCF_902652985.1	xPecMax1.1	Pecten maximus							NCBI Pecten maximus Annotation Release 100	918306378	Chromosome	11/26/19	CACRWE01	3983		
GCA_009905375.1	ASM990537v1	Apium graveolens			Ventura				Annotation submitted by North China University of Science and Technology	3332577507	Chromosome	1/28/20	WRXP01	4852		
GCA_009739505.2	ASM973950v2	Apolygus lucorum					12Hb		Annotation submitted by Agricultural Genomics Institute at Shenzhen	1023618409	Chromosome	9/2/20	WIXP02	191		
GCF_032884065.1	ASM3288406v1	Artemia franciscana						female	GCF_032884065.1-RS_2024_06	1270721945	Chromosome	10/23/23	JAVRJZ01	6481		
GCF_009727055.1	ASM972705v1	Benincasa hispida			B227				NCBI Benincasa hispida Annotation Release 100	912951219	Chromosome	12/3/19	WEIL01	1791		
GCF_001649575.2	ASM164957v2	Kryptolebias marmoratus					JLee-2015	hermaphrodite	NCBI Kryptolebias marmoratus Annotation Release 102	680638340	Chromosome	11/16/20	LWHD02	299		
GCF_000003815.2	Bfl_VNyyK	Branchiostoma floridae		S238N-H82				male	NCBI Branchiostoma floridae Annotation Release 100	513445848	Chromosome	4/29/20	ABEP03	431		
GCF_007210705.1	Tcal_SD_v2.1	Tigriopus californicus		San Diego					GCF_007210705.1-RS_2023_08	191142546	Chromosome	7/29/19	VCGU01	459		
GCF_023065955.2	UrsArc2.0	Ursus arctos				North America	Adak	male	GCF_023065955.2-RS_2023_06	2423401459	Chromosome	5/22/23	JALAAU02	361		
GCF_011386835.1	ASM1138683v2	Chrysemys picta bellii					R12L10	male	GCF_011386835.1-RS_2024_05	2372089908	Chromosome	9/8/23	JAAOEE02	9850		
GCF_000303195.2	FP7	Fusarium pseudograminearum CS3096		CS3096					Annotation submitted by CSIRO	36863345	Chromosome	4/15/15	AFNW01	279		
GCF_000165365.1	ASM16536v1	Theileria parva strain Muguga		Muguga					Annotation submitted by TIGR	8308027	Chromosome	6/30/05	AAGK01	8		
GCA_949782905.1	mRanTar1.h1.1	Rangifer tarandus platyrhynchus							Annotation submitted by EBP Norway	2971153391	Chromosome	4/20/23	CATKSN02	1395		
GCA_023525745.1	ASM2352574v1	Arctium lappa			niubang	Longdong	Gansu		"Annotation submitted by Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences"	1727363248	Chromosome	5/24/22	JAKOEK01	299		
GCF_016920715.1	AaraD3	Anopheles arabiensis					DONGOLA	male	NCBI Anopheles arabiensis Annotation Release 100	256807969	Chromosome	3/10/21	JADFTQ01	101		
GCF_004382195.2	ASM438219v2	Drosophila sechellia		sech25				male	NCBI Drosophila sechellia Annotation Release 101	153084571	Chromosome	4/16/19	NIFZ01	378		
GCF_943734685.1	AcolN3	Anopheles coluzzii							NCBI Anopheles coluzzii Annotation Release 101	262602229	Chromosome	6/24/22	CALSDT01	128		
GCF_022581195.2	ilHelZeax1.1	Helicoverpa zea					HzStark_Cry1AcR	male	NCBI Helicoverpa zea Annotation Release 100	375165593	Chromosome	3/18/22	JAKYJW01	42		
GCA_023525715.1	ASM2352571v1	Cichorium intybus			Punajuju				"Annotation submitted by Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences"	1278752569	Chromosome	5/24/22	JAKNSD01	208		
GCF_900964775.1	fSclFor1.1	Scleropages formosus							NCBI Scleropages formosus Annotation Release 101	784546363	Chromosome	4/11/19	CAAHFQ01	71		
GCF_017639515.1	sCarCar2.pri	Carcharodon carcharias					sCarCar2	male	NCBI Carcharodon carcharias Annotation Release 100	4286294447	Chromosome	3/30/21	JAGDEE01	718		
GCF_007565055.1	ASM756505v1	Rhinopithecus roxellana					Shanxi Qingling	male	NCBI Rhinopithecus roxellana Annotation Release 101	3038460517	Chromosome	7/29/19	VMRL01	3256		
GCF_004354835.1	PFLA_1.0	Perca flavescens					YP-PL-M2	male	NCBI Perca flavescens Annotation Release 100	877439799	Chromosome	3/19/19	SCKG01	267		
GCA_000757645.3	ASM75764v3	Steinernema carpocapsae		ALL				pooled male and female	Annotation submitted by California Institute of Technology	84512609	Chromosome	6/5/19	AZBU02	16		
GCA_019776745.2	Ta-2021	Taxus chinensis					Ta-2019	female	Annotation submitted by Chinese academy of agriculture sciences	10237952243	Chromosome	1/26/22	JAHRHJ02	3813		
GCF_902713615.1	sScyCan1.1	Scyliorhinus canicula							NCBI Scyliorhinus canicula Annotation Release 100	4220389930	Chromosome	12/17/20	CACTIT01	645		
GCF_019279795.1	PAN1.0	Protopterus annectens					FY-2018-M	male	NCBI Protopterus annectens Annotation Release 100	40054324612	Chromosome	7/20/21	JAGYFI01	12667		
GCF_949316345.1	fPunPun2.1	Pungitius pungitius							GCF_949316345.1-RS_2024_01	480434100	Chromosome	4/8/23	CASGFK01	174		
GCA_009363875.1	ASM936387v1	Mikania micrantha					NLD-2019		Annotation submitted by Agricultural Genomics institute at Shenzhen	1790643622	Chromosome	10/28/19	SZYD01	2815		
GCF_004353265.1	EGFV_Vit.rip_1.0	Vitis riparia			Riparia Gloire de Montpellier		1030		NCBI Vitis riparia Annotation Release 100	500105807	Chromosome	4/16/19	SJAQ01	174		
GCF_001522545.3	Parus_major1.1	Parus major					Abel	male	NCBI Parus major Annotation Release 102	1020293992	Chromosome	1/15/19	JRXK01	1674		
GCF_001879085.1	NIATTr2	Nicotiana attenuata		UT					NCBI Nicotiana attenuata Annotation Release 100	2365682703	Chromosome	11/15/16	MJEQ01	37194		
GCF_001194135.2	ASM119413v2	Octopus bimaculoides					UCB-OBI-ISO-001	male	GCF_001194135.2-RS_2023_01	2342518435	Chromosome	10/6/22	LGKD02	145326		
GCF_910594005.1	mCerEla1.1	Cervus elaphus							NCBI Cervus elaphus Annotation Release 100	2886603524	Chromosome	7/7/21	CAJVBL01	144		
GCF_023897955.1	iqSchGreg1.2	Schistocerca gregaria					iqSchGreg1	male	NCBI Schistocerca gregaria Annotation Release 100	8742418402	Chromosome	6/24/22	JAKZLS01	1474		
GCF_000209165.1	ASM20916v1	Scheffersomyces stipitis CBS 6054		CBS 6054					Annotation submitted by DOE Joint Genome Institute	15441179	Chromosome	2/26/07	AAVQ01	8		
GCF_001531365.2	CcrdV1.1	Cynara cardunculus var. scolymus					2C		NCBI Cynara cardunculus subsp. cardunculus Annotation Release 100	724962400	Chromosome	4/17/18	LEKV01	13479		
GCF_000006355.2	GCA_000006355.2	Plasmodium knowlesi strain H		H					Annotation submitted by Wellcome Trust Sanger Institute	24359384	Chromosome	2/24/20	CADCXE01	162		
GCF_035770615.1	bMelMel2.pri	Melospiza melodia melodia					bMelMel2	female	GCF_035770615.1-RS_2024_02	1541245192	Chromosome	1/24/24	JAYKKP01	353		
GCF_000002845.2	ASM284v2	Leishmania braziliensis MHOM/BR/75/M2904		MHOM/BR/75/M2904					Annotation submitted by NCBI RefSeq	32068771	Chromosome	11/7/11	CADA01	138		
GCF_021130785.1	UT_GWSS_2.1	Homalodisca vitripennis					AUS2020	pooled male and female	NCBI Homalodisca vitripennis Annotation Release 100	2304988238	Chromosome	1/26/22	JAJKGG02	14903		
GCF_028885655.2	NHGRI_mPonAbe1-v2.0_pri	Pongo abelii					AG06213	male	GCF_028885655.2-RS_2024_02	3259853530	Chromosome	1/5/24	JAQQLQ02	29		
GCA_030867185.1	ASM3086718v1	Tagetes erecta					WSJ		"Annotation submitted by Agricultural Genomics Institute at Shenzhen,Chinese Academy of Agricultural Sciences"	778926021	Chromosome	8/24/23	JAUHHV01	26		
GCF_016161935.1	ASM1616193v1	Mauremys reevesii					NIE-2019	female	NCBI Mauremys reevesii Annotation Release 100	2367590653	Chromosome	12/22/20	JADWOL01	229		
GCF_004382145.1	ASM438214v1	Drosophila mauritiana		mau12				male	NCBI Drosophila mauritiana Annotation Release 100	152298302	Chromosome	4/16/19	NIGA01	352		
GCF_015852505.1	mTacAcu1.pri	Tachyglossus aculeatus					mTacAcu1	male	NCBI Tachyglossus aculeatus Annotation Release 100	2213004214	Chromosome	12/9/20	JADRJE01	310		
GCA_911865555.2	T_arvense_v2	Thlaspi arvense							Annotation submitted by ecSeq Bioinformatics GmbH	525555146	Chromosome	3/23/22	CAJVSB02	964		
GCF_921293095.1	ioIscEleg1.1	Ischnura elegans							NCBI Ischnura elegans Annotation Release 100	1722738530	Chromosome	12/5/21	CAKLCU01	110		
GCF_027563975.2	ilPloInte3.2	Plodia interpunctella					USDA-ARS_2022_Savannah	male	GCF_027563975.2-RS_2024_04	291316876	Chromosome	2/12/24	JAOPHU01	45		
GCF_905220365.1	ilVanCard2.1	Vanessa cardui							NCBI Vanessa cardui Annotation Release 100	424798336	Chromosome	2/16/21	CAJMZP01	36		
GCF_945859705.1	idEpiBalt1.1	Episyrphus balteatus							GCF_945859705.1-RS_2023_05	535345329	Chromosome	9/13/22	CAMAOR01	18		
GCF_031761385.1	Nec_am_Ar_1.0	Necator americanus		Aroian				pooled male and female	Annotation submitted by Cornell University	234457255	Chromosome	9/22/23	JAVFWL01	38		
GCF_010183535.1	CRPX506	Caenorhabditis remanei		PX506				pooled males and females	Annotation submitted by University of Oregon	130466896	Chromosome	2/10/20	WUAV01	186		
GCA_963859935.3	JIC_Lsat_v2.1.1	Lathyrus sativus							Annotation submitted by John Innes Centre	5967284493	Chromosome	2/9/24	CAWUDS03	7646		
GCA_004837865.1	BananaB_V1	Musa balbisiana					DH-PKW		Annotation submitted by Institute of Tropical Bioscience and Biotechnology	492775286	Chromosome	7/9/19	PYDT01	2590		
GCF_013373865.1	ASM1337386v2	Monomorium pharaonis					MP-MQ-018	female	NCBI Monomorium pharaonis Annotation Release 102	325506644	Chromosome	8/14/20	JABXFI02	725		
GCA_039720395.1	ZJU_Lfor_1.0	Liquidambar formosana					Hangzhou		Annotation submitted by Zhejiang University	718378248	Chromosome	5/20/24	JBBPBK01	417		
GCA_030979885.1	Rabiosa unphased assembly	Lolium multiflorum			Rabiosa		02402/16		"Annotation submitted by Molecular Plant Breeding Group, ETH Zurich"	2462086667	Chromosome	8/30/23	JAUUTY01	1916		
GCF_008729295.1	YSFRI_Pleo_2.0	Plectropomus leopardus					mb		NCBI Plectropomus leopardus Annotation Release 100	895688574	Chromosome	5/27/20	VJNF02	94259		
GCA_003604175.2	CSKR.v2	Clonorchis sinensis					Cs-k2		Annotation submitted by The University of Melbourne	558124894	Chromosome	4/12/21	NIRI02	78		
GCF_022539595.1	ASM2253959v1	Amphiprion ocellaris				Okinawa	individual 3	male	GCF_022539595.1-RS_2023_03	863468154	Chromosome	3/10/22	JAJUWX01	353		
GCA_016081115.2	ASM1608111v2	Rehmannia glutinosa			Qinhuai		DH-2019		Annotation submitted by Henan University of Chinese Medicine	2407208525	Chromosome	2/23/24	JABTTQ02	3506		
GCF_016617805.1	CSIRO_BtryS06_freeze2	Bactrocera tryoni					S06	male	NCBI Bactrocera tryoni Annotation Release 100	570642875	Chromosome	1/19/21	VWMZ01	5891		
GCF_001298625.1	SEUB3.0	Saccharomyces eubayanus		FM1318					Annotation submitted by University of Wisconsin-Madison	11670174	Chromosome	11/4/15	JMCK01	23		
GCF_000817695.3	aradu.V14167.gnm2.J7QH	Arachis duranensis			V14167				GCF_000817695.3-RS_2023_02	1081735204	Chromosome	9/21/20	JQIN02	1588		
GCF_001672515.1	ASM167251v1	Colletotrichum higginsianum IMI 349063		IMI 349063					Annotation submitted by GATC Biotech AG	50716103	Chromosome	6/21/16	LTAN01	25		
GCF_027475565.1	VMU_Ajub_asm_v1.0	Acinonyx jubatus					Ajub_Pintada_27869175	female	GCF_027475565.1-RS_2023_04	2377417351	Chromosome	12/28/22	JANJSO01	195		
GCF_028583425.1	MPM_Emac_v1.0	Eublepharis macularius					TG4126		GCF_028583425.1-RS_2023_03	2237379946	Chromosome	2/10/23	JAOPLA01	75		
GCF_018350215.1	P.leo_Ple1_pat1.1	Panthera leo					Ple1	male	NCBI Panthera leo Annotation Release 100	2297552363	Chromosome	5/13/21	JAEQMX01	53		
GCF_018345385.1	ASM1834538v1	Vulpes lagopus		Blue_001				female	NCBI Vulpes lagopus Annotation Release 100	2345533697	Chromosome	5/12/21	JADWOQ01	928		
GCF_914725855.1	fThuAlb1.1	Thunnus albacares							NCBI Thunnus albacares Annotation Release 100	792101331	Chromosome	9/16/21	CAJZAX01	68		
GCF_030020395.1	mManPen7.hap1	Manis pentadactyla					mManPen7	male	GCF_030020395.1-RS_2023_06	2840164579	Chromosome	5/23/23	JASFZP01	661		
GCF_950023065.1	ihPlaCitr1.1	Planococcus citri							GCF_950023065.1-RS_2024_05	403646906	Chromosome	5/1/23	CATLOI01	9		
GCF_011004845.1	fEsoLuc1.pri	Esox lucius					fEsoLuc1		NCBI Esox lucius Annotation Release 104	918731919	Chromosome	3/5/20	JAAIYR01	52		
GCF_036417665.1	bPasDom1.hap1	Passer domesticus					bPasDom1	female	GCF_036417665.1-RS_2024_04	1310114252	Chromosome	2/7/24	JAZGKA01	334		
GCF_020382885.2	fScaArg1.pri	Scatophagus argus					fScaArg1		NCBI Scatophagus argus Annotation Release 100	570785501	Chromosome	10/13/21	JAIZDN01	47		
GCF_018139145.2	ASM1813914v2	Gymnogyps californianus					813	female	GCF_018139145.2-RS_2023_02	1240248578	Chromosome	9/1/22	JAGKTE02	542		
GCF_904848185.1	fAcaLat1.1	Acanthopagrus latus					v.2019		NCBI Acanthopagrus latus Annotation Release 100	685127588	Chromosome	10/12/20	CAJHBW01	65		
GCF_006542625.1	Asia_NLE_v1	Nomascus leucogenys					Asia	female	NCBI Nomascus leucogenys Annotation Release 103	2843966406	Chromosome	7/2/19	VIFL01	2376		
GCF_000231095.2	ObraRS2	Oryza brachyantha							NCBI Oryza brachyantha Annotation Release 102	263195077	Chromosome	3/10/21	AGAT02	73		
GCF_024362695.1	ilPecGoss1.1	Pectinophora gossypiella						female	NCBI Pectinophora gossypiella Annotation Release 100	476494545	Chromosome	7/22/22	JAMDNT01	151		
GCF_022682495.1	HLdesRot8A	Desmodus rotundus					HL8	male	GCF_022682495.1-RS_2023_02	2113473284	Chromosome	3/24/22	JAKFFZ01	572		
GCF_905171775.1	aRanTem1.1	Rana temporaria							NCBI Rana temporaria Annotation Release 100	4111422596	Chromosome	1/28/21	CAJIMO01	554		
GCF_021347895.1	KAUST_Apoly_ChrSc	Acanthochromis polyacanthus				Palm Island	Apoly-LR-REF		GCF_021347895.1-RS_2023_02	956771783	Chromosome	1/11/22	JAEMOU01	81		
GCF_016086655.3	UVic_Lsal_1.2	Lepeophtheirus salmonis					Lsal2020	female	NCBI Lepeophtheirus salmonis Annotation Release 100	647176227	Chromosome	12/16/20	JADKYV01	8065		
GCA_014281875.1	ASM1428187v1	Nibea albiflora					ZJHYS-2018	female	Annotation submitted by Marine Fishery Institute of Zhejiang Province	627578634	Chromosome	8/25/20	JABGLX01	524		
GCF_013401445.1	ASM1340144v1	Tripterygium wilfordii					XIE 37		NCBI Tripterygium wilfordii Annotation Release 100	348533228	Chromosome	7/13/20	JAAARO01	321		
GCF_021234035.1	SC_F0-13Bv2	Daphnia pulicaria					SC F1-1A		NCBI Daphnia pulicaria Annotation Release 100	185057732	Chromosome	1/11/22	JAJAGA01	155		
GCF_947568905.1	xbOstEdul1.1	Ostrea edulis							GCF_947568905.1-RS_2023_05	894786893	Chromosome	12/16/22	CANOQP01	52		
GCF_023373465.1	Oket_V2	Oncorhynchus keta		PuntledgeMale-10-30-2019				male	GCF_023373465.1-RS_2023_03	2556461070	Chromosome	5/16/22	JAJNGS01	17479		
GCF_016432855.1	SaNama_1.0	Salvelinus namaycush					Seneca	female	NCBI Salvelinus namaycush Annotation Release 100	2345496725	Chromosome	1/6/21	JAEAGN01	4120		
GCF_014858855.1	ASM1485885v1	Bufo gargarizans					SCDJY-AF-19	female	NCBI Bufo gargarizans Annotation Release 100	4545465442	Chromosome	10/21/20	JABFFT01	747		
GCF_010389155.1	C_canadensis_v1	Erigeron canadensis					Cc75		NCBI Erigeron canadensis Annotation Release 100	426223753	Chromosome	3/9/20	WJPJ01	356		
GCA_019925795.1	ASM1992579v1	Dendrobium chrysotoxum					Lindl		Annotation submitted by The Orchid Conservation and Research Center of Shenzhen	1368173789	Chromosome	9/10/21	JAGFBR01	822		
GCF_000238955.4	M_zebra_UMD2a	Maylandia zebra				Mazinzi reef	#2_Kocher and #3_Kocher	pooled male and female	NCBI Maylandia zebra Annotation Release 104	957468680	Chromosome	4/10/18	AGTA05	1689		
GCF_900700415.2	Ch_v2.0.2	Clupea harengus							NCBI Clupea harengus Annotation Release 102	786308905	Chromosome	4/16/19	CAADHV01	1723		
GCF_019202785.1	ASM1920278v2	Penaeus chinensis	Huanghai No. 1					male	NCBI Penaeus chinensis Annotation Release 100	1466063637	Chromosome	7/13/21	JAGKSU01	1060		
GCA_018290095.1	Pv_5.2	Polypedilum vanderplanki					NIAS01	pooled male and female	Annotation submitted by National Agriculture and Food Research Organization	118968711	Chromosome	5/13/21	JADBJN01	387		
GCF_023119035.1	UniMelb_Shisp_WGS_1.0	Salvia hispanica			TCC Black 2014				NCBI Salvia hispanica Annotation Release 100	321318253	Chromosome	4/29/22	JALPBU01	1555		
GCA_912172775.2	Fraxinus pennsylvanica genome version 1.5	Fraxinus pennsylvanica							Annotation submitted by UNIVERSITY OF TENNESSEE- KNOXVILLE	756791288	Chromosome	5/17/23	CAJVVE02	110		
GCF_023634155.1	bFalPer1.pri	Falco peregrinus					bFalPer1	female	GCF_023634155.1-RS_2023_04	1311580791	Chromosome	6/2/22	JAMOAR01	124		
GCF_015227805.2	bHirRus1.pri.v3	Hirundo rustica					bHirRus1	female	GCF_015227805.2-RS_2023_07	1105955550	Chromosome	11/30/21	JADDRP03	617		
GCF_016509475.1	Fcat_Pben_1.1_paternal_pri	Prionailurus bengalensis					Pbe53	male	NCBI Prionailurus bengalensis Annotation Release 100	2435702060	Chromosome	1/6/21	JADZGN01	83		
GCF_001653235.2	ASM165323v2	Pochonia chlamydosporia 170					170		Annotation submitted by The Institute of Vegetables and Flowers CAAS	44215803	Chromosome	7/10/17	LSBJ02	49		
GCA_030684275.1	Acipenser_oxyrinchus.AOXY1.1	Acipenser oxyrinchus oxyrinchus				St John's River (Canada)	STURGEONOMICS-FGT-2020	female	"Annotation submitted by Elena Santidrian, Ron DirksHeiner Kuhl, Jörn Gessner, Sven Wuertz, Matthias Stöck, Kang Du, Manfred Schartl,Christophe Klopp, Yann Guiguen, Cédric Cabau, Céline Lopez-Roques"	1862452108	Chromosome	8/8/23	JAGXEW01	2886		
GCA_905067625.1	Bgtriticale_THUN12_genome_v1_2	Blumeria graminis f. sp. triticale					THUN-12		Annotation submitted by UNIVERSITY OF ZURICH	141403166	Chromosome	6/18/21	CAJHIT01	36		
GCF_029289425.2	NHGRI_mPanPan1-v2.0_pri	Pan paniscus						male	GCF_029289425.2-RS_2024_02	3244888708	Chromosome	1/8/24	JARIFH02	30		
GCF_021730395.1	MADL_Memer_1	Mercenaria mercenaria		notata					GCF_021730395.1-RS_2023_01	1858199728	Chromosome	2/1/22	JAIXLV01	4975		
GCA_029531755.1	CAS_HOLleu_V1	Holothuria leucospilota					nanhai2018		Annotation submitted by Chinese Academy of Sciences	1391422550	Chromosome	4/6/23	JAIZAY01	2312		
GCA_025413875.1	RHMOLv1	Rhododendron molle					AT1		Annotation submitted by Ori-Gene Co. Ltd.	652158357	Chromosome	9/28/22	JAKSEO01	21		
GCF_947179165.1	daSolDulc1.2	Solanum dulcamara							GCF_947179165.1-RS_2023_05	946304905	Chromosome	12/2/22	CAMXBZ02	105		
